time,P-all
12,-2.6817033350467683
13,-3.6687225133180617
14,-6.936261931061745
15,-3.3610845364630224
16,-1.0980372518301014
17,-0.15160924792289743
18,-0.41514467895030993
19,-0.397087651491165
20,-12.107964396476746
21,-10.36210377216339
22,-5.203785841166973
23,9.607494819164277
0,5.133988070487976
1,12.845033723115922
2,7.073839175701141
3,11.246956753730775
4,13.59087668657303
5,2.4699303686618803
6,5.594123280793428
7,-7.405355069041252
8,-5.8076764523983
9,-6.669155859947205
10,-8.086627739667893
11,-12.832607404142617
